"TAX_INCLUSIVE_YN","RESORT","FREQUENT_FLYER_YN","TRX_CODE","TC_GROUP","TC_SUBGROUP","TCL_CODE_DFLT_CL1","TCL_CODE_DFLT_CL2","CLASS_1_MANDATORY_YN","CLASS_2_MANDATORY_YN","DESCRIPTION","TC_TRANSACTION_TYPE","IS_MANUAL_POST_ALLOWED","RESULT_INCLUDED_IN_SUM_ARRAY","CC_TYPE","COMMISSION","CC_CODE","IND_BILLING","IND_AR","CURRENCY","IND_REVENUE_GP","ADJ_TRX_CODE","ARRANGE_CODE","EXPENSE_FOLIO","GROUP_FOLIO","REV_BUCKET_ID","REV_GP_ID","IND_CASH","IND_DEPOSIT_YN","DEFERRED_YN","AR_NAME_ID","TRX_CODE_TYPE","INSERT_USER","INSERT_DATE","UPDATE_USER","UPDATE_DATE","TC_RESORT","TC_BOF_REF_CODE","TC_BOF_INTERFACE","TC_RESORT2","TC_BOF_REF_CODE2","TC_BOF_INTERFACE2","CRS_TAX_DESC","TAX_CODE_NO","TRX_ACTION_ID","EXPORT_BUCKET","INH_SALES_YN","INH_PAY_YN","INH_DEPOSIT_YN","FISCAL_TRX_CODE_TYPE","COMP_YN","DEFAULT_PRICE","INACTIVE_DATE","PAYMENT_TAX_INVOICE_YN","INTERNAL_YN","FISCAL_PAYMENT_YN","COMP_NIGHTS_YN","ROTATION_REV_YN","OWNER_REV_YN","CHECK_NO_MANDATORY_YN","DED_OWNER_REV_YN","NON_TAXABLE_YN","COMP_PAYMENT_YN","MIN_AMT","MAX_AMT","TRX_SERVICE_TYPE","DAILY_PLAN_FOLIO","TRX_CODE_DISPLAY","INCLUDE_IN_DEPOSIT_RULE_YN","INCLUDE_IN_8300_YN","MANUAL_POST_COVERS_YN","ROUND_FACTOR_YN","DEPOSIT_POSTING_ONLY_YN","TRX_TAX_TYPE_CODE","DEPOSIT_TYPE","GP_POINTS_REDEMPTION_YN","EXTERNAL_PAYMENT_CODE","E_INVOICE_YN","CORP_PROP_FLAG","CORPORATE_DESCRIPTION","PRINT_RECEIPT_YN","SERVICE_RECOVERY_TRX_CODE","ACCOUNTING_CODE","QUANTITY_CODE","UPC_CODE"
"Y","VILU","N","24201","F&B","TNRV","","","","","The Nautilus Food Lunch","C    ","Y","111","",0,"","N","N","","Y","24251","11506",,,,,"N","N","N",,"F",502,16-SEP-15,502,16-SEP-15,"","","","","","","",,35088,,"N","N","N","","N",,,"N","","N","N","","","N","","N","N",,,"",,"","","","","","","","","N","","","","","","","","",""
"Y","VILU","N","24202","F&B","TNRV","","","","","The Nautilus Beverage Lunch","C    ","Y","111","",0,"","N","N","","Y","24252","11506",,,,,"N","N","N",,"F",502,16-SEP-15,502,16-SEP-15,"","","","","","","",,35091,,"N","N","N","","N",,,"","","","","","","N","","","N",,,"",,"","","","","","","","","N","","","","","","","","",""
"Y","VILU","N","24203","F&B","TNRV","","","","","The Nautilus Fresh Juices Lunch","C    ","Y","111","",0,"","N","N","","Y","24253","11506",,,,,"N","N","N",,"F",502,16-SEP-15,502,16-SEP-15,"","","","","","","",,35095,,"N","N","N","","N",,,"","","","","","","N","","","N",,,"",,"","","","","","","","","N","","","","","","","","",""
"Y","VILU","N","24204","F&B","TNRV","","","","","The Nautilus Beer Lunch","C    ","Y","111","",0,"","N","N","","Y","24254","11506",,,,,"N","N","N",,"F",502,16-SEP-15,502,16-SEP-15,"","","","","","","",,35145,,"N","N","N","","N",,,"","","","","","","N","","","N",,,"",,"","","","","","","","","N","","","","","","","","",""
"Y","VILU","N","24205","F&B","TNRV","","","","","The Nautilus Liquor Lunch","C    ","Y","111","",0,"","N","N","","Y","24255","11506",,,,,"N","N","N",,"F",502,16-SEP-15,502,16-SEP-15,"","","","","","","",,35148,,"N","N","N","","N",,,"","","","","","","N","","","N",,,"",,"","","","","","","","","N","","","","","","","","",""
"Y","VILU","N","24206","F&B","TNRV","","","","","The Nautilus Wine Lunch","C    ","Y","111","",0,"","N","N","","Y","24256","11506",,,,,"N","N","N",,"F",2,17-SEP-15,2,17-SEP-15,"","","","","","","",,35879,,"N","N","N","","N",,,"","","","","","","N","","","N",,,"",,"","","","","","","","","N","","","","","","","","",""
"Y","VILU","N","24207","F&B","TNRV","","","","","The Nautilus Premium Beer Lunch","C    ","Y","111","",0,"","N","N","","Y","24257","11506",,,,,"N","N","N",,"F",502,16-SEP-15,502,16-SEP-15,"","","","","","","",,35151,,"N","N","N","","N",,,"","","","","","","N","","","N",,,"",,"","","","","","","","","N","","","","","","","","",""
"Y","VILU","N","24208","F&B","TNRV","","","","","The Nautilus Premium Liquor Lunch","C    ","Y","111","",0,"","N","N","","Y","24258","11506",,,,,"N","N","N",,"F",502,16-SEP-15,502,16-SEP-15,"","","","","","","",,35155,,"N","N","N","","N",,,"","","","","","","N","","","N",,,"",,"","","","","","","","","N","","","","","","","","",""
"Y","VILU","N","24209","F&B","TNRV","","","","","The Nautilus Premium Wine Lunch","C    ","Y","111","",0,"","N","N","","Y","24259","11506",,,,,"N","N","N",,"F",2,17-SEP-15,2,17-SEP-15,"","","","","","","",,35882,,"N","N","N","","N",,,"","","","","","","N","","","N",,,"",,"","","","","","","","","N","","","","","","","","",""
"Y","VILU","N","24210","F&B","TNRV","","","","","The Nautilus AI Premium Beverage Lunch","C    ","Y","","",0,"","N","N","","Y","24260","",,,,,"N","N","N",,"F",1835,03-NOV-15,1835,03-NOV-15,"","","","","","","",,43588,,"N","N","N","","N",,,"N","","N","N","","","N","","N","N",,,"",,"","","","","","","","","N","","","","","","","","",""
